ELCODE,Group_,CommonName,ScientificName,Terrestrial_Aquatic,BBA_Density,BBA_Other,eBird,SDM,NALCC_Landscape_Capability,NALCC_Suitable_Habitat,EO_Data,CPP,AppLCC_caves,Xerces,Habitat_Associations,PARS,PGC_Databases,Citizen_Science,Notes,F21,F22,F23,F24,F25,F26,OBJECTID,SNAME,Cnt_SNAME,First_TaxaGroup,First_ELCODE,First_SCOMNAME
AFCFA01010,Fish,Blueback Herring,Alosa aestivalis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,78,,,,,
AFCFA01040,Fish,Hickory Shad,Alosa mediocris,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,79,,,,,
AFCFA01050,Fish,Alewife,Alosa pseudoharengus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,80,,,,,
AFCFA01060,Fish,American Shad,Alosa sapidissima,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,81,,,,,
AAAAA01050,Amphibians,Jefferson Salamander,Ambystoma jeffersonianum,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,Yes,,,,,,,,,,82,,,,,
AAAAA01060,Amphibians,Blue-spotted Salamander,Ambystoma laterale,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,Yes,,,,,,,,,,83,,,,,
AAAAA01100,Amphibians,Marbled Salamander,Ambystoma opacum,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,Yes,,,,,,,,,,84,,,,,
AFCKA06020,Fish,White Catfish,Ameiurus catus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,85,,,,,
AFCKA06030,Fish,Black Bullhead,Ameiurus melas,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,86,,,,,
IIEPH15090,Mayflies,A Brown Dun,Ameletus browni,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,87,,,,,
IIEPH15020,Mayflies,A Brown Dun,Ameletus cryptostimulus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,88,,,,,
AFCCA01010,Fish,Bowfin,Amia calva,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,,,n/a ,,,,,,,,,,89,,,,,
AFCQC01060,Fish,Eastern Sand Darter,Ammocrypta pellucida,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,90,,,,,
ABPBXA0030,Birds,Henslow's Sparrow,Ammodramus henslowii,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,91,,,,,
ABPBXA0020,Birds,Grasshopper Sparrow,Ammodramus savannarum,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,92,,,,,
